17,2,60
13,3,61
22,2,60
24,3,34
28,4,29
22,0,74
27,4,55
20,4,20
23,0,43
14,4,33
27,3,34
21,2,31
25,4,38
17,2,34
21,3,40
15,0,69
17,3,33
28,4,40
21,3,87
25,4,52
18,2,45
28,1,56
19,1,23
29,4,47
14,0,38
21,0,75
22,3,42
10,4,48
19,3,61
29,3,19
23,4,43
23,4,44
28,0,48
23,4,39
28,1,52
20,2,51
18,3,51
10,4,40
10,1,27
18,1,76
25,1,24
21,1,67
19,4,61
22,4,17
14,2,47
28,4,36
28,2,61
11,3,31
15,4,99
21,0,69
20,3,40
22,4,76
23,0,70
13,0,43
20,4,99
17,0,59
29,0,64
22,1,33
14,2,45
27,1,54
28,2,44
12,1,73
21,4,56
20,1,102
25,2,45
15,1,33
16,1,50
16,0,112
25,4,178
18,1,32
17,3,35
20,4,59
28,4,26
23,2,33
23,1,45
24,1,45
17,3,30
29,0,48
20,1,31
19,0,65
12,4,40
19,1,83
26,1,54
11,2,41
20,2,74
29,2,54
24,3,30
20,3,43
22,0,27
28,2,55
20,1,53
28,2,50
12,2,40
21,3,76
28,2,33
24,2,25
21,4,38
21,3,38
14,0,22
29,3,53
21,1,119
29,0,50
20,0,41
18,0,169
27,1,51
25,3,27
23,2,29
10,0,37
29,4,59
17,2,67
15,4,86
17,3,33
11,4,29
27,1,40
28,2,67
28,3,60
19,3,82
23,4,49
13,0,74
13,4,64
